 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor serviços profissionais por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Set/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"11 Rondônia";296869,78;627546,77;346162,81;327945,93;343959,02;312525,08;680606,47;726070,38;702255,49;686771,19;651342,67;683986,31;613523,95;693671,59;778370,82;792107,11;830413,86;811704,29;843131,51;786839,36;794682,63;855617,11;867103,38;831029,02;771439,32;759294,55;811320,60;858143,97;919326,64;902538,23;989405,98;886032,69;977226,66;926456,54;908494,55;844769,96;894295,38;804054,48;882394,20;1011884,34;942718,40;937170,68;918694,74;1013430,28;1124326,52;870606,47;933439,48;743148,99;884392,82;894112,17;1011861,75;920459,86;956427,22;1053721,89;995015,72;880432,78;841134,18;823613,86;751408,85;663821,46;846017,34;969609,09;1098262,25;1167979,43;1152625,52;1018980,33;1229461,79;1272575,55;1249953,06;1253365,90;1277485,52;1267515,37;1143463,89;1220899,15;1325854,70;1282184,17;1417486,54;1370261,07;1295752,95;1397972,33;1344752,99;1170259,95;1232240,23;1258960,51;1423067,66;1262857,70;1380499,19;1317775,18;1516568,85;1454011,36;1732275,13;1391881,86;1457137,47;1353844,50;1299262,04;1321448,65;1485473,31;1603016,94;1433058,33;1571906,80;1466936,78;1583485,94;1605258,49;1617234,96;1556141,17;1441312,72;1406509,99;1416781,68;1551361,48;1385324,27;1499247,29;1834767,86;1605080,13;1568156,35;1704856,15;1559767,57;1599803,51;1773086,77;1598055,75;1576458,95;1621269,20;1742101,58;1750967,11;1760772,10;1686166,72;1718642,90;1682729,76;1803527,82;1505998,02;1827863,05;1628627,79;1720477,75;1854922,67;1572793,55;1781805,58;1896500,73;1951423,62;1663106,36;1820579,62;1793227,96;1711467,22;1881985,44;1830453,65;1562110,53;1853761,48;1516597,42;1591831,26;1508339,04;1544075,64;1702088,20;2135968,61;2129402,93;1992032,98;1530284,07;1796612,80;1658759,70;1905694,83;1870290,23;2728790,62;2781396,43;2845149,80;2708563,32;2423961,22;2109384,55;1815381,34;215726772,35
"12 Acre";236519,77;357039,06;433377,08;409454,44;411222,57;456674,17;613743,31;498876,80;505753,28;472603,79;450883,23;577815,35;607645,51;581846,05;523634,04;672818,91;662683,41;587082,47;620704,58;577069,85;-;655651,62;511667,61;599592,27;602280,84;484089,05;600005,40;649331,93;687039,84;574955,80;540484,31;581185,15;594626,47;537210,97;615029,17;590392,30;723307,80;607965,24;634446,45;641743,58;656596,86;685002,21;725447,29;627231,10;639193,14;673109,57;739073,51;643839,60;605400,72;520818,16;727799,48;674769,08;673856,05;726421,38;634753,94;762293,23;592915,92;717249,01;717436,49;643902,47;647754,15;732254,38;709041,61;753483,36;666804,80;638846,16;625060,01;720101,69;677012,92;698941,03;686929,17;702206,16;875169,90;692151,26;702149,46;729111,69;776175,02;757642,33;794913,03;772923,00;733313,23;754630,45;759619,96;620696,98;800379,03;709458,24;757583,55;740309,13;744134,49;778434,72;711890,65;781038,50;794426,97;758064,10;764459,23;745902,62;709284,39;854602,27;731873,65;795456,37;772540,29;939247,39;909830,38;880050,65;806478,60;773823,72;699025,19;756643,24;650741,96;815621,70;729166,60;716679,45;784423,59;614103,37;594267,86;776627,27;675999,14;1082996,68;993487,66;644145,90;841018,62;589048,86;619635,13;759975,80;567946,02;746834,33;726665,37;712919,26;607913,89;698355,71;725873,23;500987,12;611847,74;462317,03;703965,10;556762,01;653847,21;772272,26;842400,09;793310,57;742655,21;781583,63;712774,37;702465,82;783659,69;748246,06;705611,05;540605,25;689996,22;729637,47;878945,75;884086,46;820784,81;951184,94;819557,10;850956,27;867057,64;792248,81;899243,38;1250909,56;1266393,60;790731,15;1094487,01;927165,04;-;113820574,62
"13 Amazonas";1141750,72;1658491,74;1911631,08;1921334,27;1769600,11;1926911,92;2168182,12;2139775,58;2150345,25;2060094,62;1634658,97;1842669,96;1728075,32;1578294,33;2356321,96;2006299,28;2041951,84;2071066,75;2139096,37;2184430,28;2213003,56;2170167,17;2014322,36;2071487,90;2176954,44;2011569,99;2180033,42;2320359,95;2213869,54;2364096,78;2237356,41;1899649,12;1820650,58;2308949,91;2361536,20;2343246,29;2297452,10;2090633,41;2229932,30;2281851,94;2474626,10;2290682,79;2881322,45;2289506,76;2470926,38;2373748,30;2233178,69;2698961,46;2447009,33;2502976,47;2415306,41;2203228,65;2528338,15;2422960,24;2588148,96;2342950,67;2437768,37;2475227,59;2388450,40;2084645,41;2529129,76;2257435,87;2355670,07;2690135,13;2476050,50;2564393,88;2552955,07;2687730,68;2674748,92;2705503,31;2505814,35;2422334,19;2561244,35;2149457,82;2281198,30;2165343,71;2641603,53;2356721,42;2318666,02;2452130,17;2614925,32;2604866,48;2565488,69;2456465,50;2869378,65;2786499,53;2697408,04;2866914,07;2925103,00;3094106,68;3362326,81;3066652,53;3060739,16;3060992,12;3058728,60;2730354,99;2714452,16;2885187,39;3059614,66;2829458,32;3184552,04;3049171,00;2879066,79;3200519,51;3128815,94;2594674,13;2608732,91;2700858,81;2993380,21;2628194,26;3223478,72;2937943,69;3339120,29;3075527,65;3231433,55;3354019,67;3156873,81;3439577,09;3080649,23;3149545,46;3173478,04;3089610,82;3205745,28;3383680,02;3307103,49;3287601,39;3359752,15;3329188,46;3582199,75;3714977,40;3493875,02;3284947,28;3812222,00;3216760,05;3578416,47;3483937,69;3585874,71;3435864,78;3556161,54;3552333,82;3728455,82;3579927,93;3567350,98;3297976,16;3590400,82;3342150,43;3441546,56;3046574,65;4068170,63;4370405,73;4097131,03;3791307,46;3890421,16;3646773,36;4207936,85;3684290,37;4228123,82;5153091,43;4727823,54;4815984,62;5130263,35;5072382,22;4727810,36;4620649,47;4054511,58;468517324,42
"14 Roraima";192366,41;236353,89;182718,31;227747,80;250105,36;220758,99;274820,92;232356,52;235840,35;297319,23;277114,87;335618,60;232327,21;250131,89;360283,72;352109,81;400853,58;427822,58;422132,95;489264,92;453903,67;289509,61;393365,78;387455,62;371097,27;319900,96;490519,85;458649,04;404829,10;425006,63;427379,00;408289,72;444516,31;453847,30;422583,63;287984,47;300029,66;254771,54;338524,78;344528,89;258285,89;278194,65;305747,37;421638,75;403435,01;377351,46;436411,70;484319,41;383835,23;460133,02;519629,71;505150,00;539485,54;458190,27;433747,83;483664,28;424709,15;374071,55;435779,94;437732,72;399367,43;420148,32;501708,17;490324,26;527017,78;569418,47;601532,27;556353,13;447116,07;441571,62;392745,94;382899,41;444569,15;479739,85;499009,97;373144,60;458961,57;436728,92;434455,71;394177,16;397724,33;385713,09;471886,57;263818,83;467755,00;558509,57;455620,87;571178,24;452986,51;389151,44;493441,95;634404,38;636479,50;574905,61;531976,26;426866,43;476384,96;440688,51;517921,86;615592,43;588979,07;628773,61;675482,96;627349,97;646849,75;650116,42;619335,86;578311,86;534366,41;532008,71;609070,03;653454,46;630806,23;690204,18;684058,33;710985,69;683733,65;634349,72;658484,03;648959,98;721609,21;721572,59;705107,87;702059,60;668499,19;791225,58;735326,04;734393,12;713379,12;752212,42;710494,62;799970,74;655585,59;648181,91;487903,90;553738,04;605052,61;723794,81;781305,72;1019648,09;881665,73;790806,34;792110,52;708472,02;760452,83;725528,67;682393,91;775934,58;682320,73;748602,68;670224,48;684849,03;661720,19;732147,52;798867,01;790419,14;726198,48;742241,58;923382,38;1022976,32;869676,58;707256,04;816828,30;829528,67;724499,62;87176095,40
"15 Pará";4464258,73;4581924,09;5062566,23;4835322,13;5342205,15;5287030,47;5519709,53;5434348,29;5684005,30;5491651,81;5120877,58;5513719,04;5572976,75;5390557,28;5888969,11;5772774,93;5833732,62;5625908,81;6106894,62;6057672,45;6068041,18;6179370,65;5690225,31;5859926,92;5783490,84;5830594,40;5939200,37;5640550,97;5977035,65;5845850,73;5880349,32;5771783,70;5995057,66;5968547,42;6172342,33;5799593,42;6268496,21;5923971,52;6043316,26;6164663,35;5628142,24;6271820,89;5618982,25;5870859,24;6529127,38;6364243,08;5936161,51;6175326,84;6341042,15;6014396,78;6207907,82;5964708,62;6014524,74;5902365,27;5951736,36;4944215,76;6096849,54;6176494,46;6015255,64;6291406,22;5979907,05;6219228,01;6235769,07;6397684,79;6505438,23;6678059,32;6563418,29;6389504,16;6479305,59;6352757,89;6463925,47;6608088,71;5950765,55;6139760,59;6321758,01;6263258,70;6414441,16;6701973,09;6388451,85;6406713,17;6521576,10;6807299,57;6544747,55;6401916,65;6360183,51;6461752,77;6416132,25;6665570,94;6606888,60;6584513,71;6820263,04;7069199,46;6801686,44;6630094,22;6709712,75;6348376,61;6374657,18;6669214,00;6366849,90;6745132,84;6775347,36;7014647,15;6960872,37;7052251,25;7242785,66;7533388,36;6781653,27;6797732,77;7125952,22;6988637,38;7167209,22;7448481,02;7040963,09;7449729,02;7555591,29;7527892,24;8129758,20;7975813,37;7606589,72;7940611,55;7415881,43;7333284,22;7585843,62;7984985,36;7661541,31;7972373,41;7601284,05;8146950,78;8159880,72;8960771,72;7880510,36;8079921,71;7751589,80;7700089,78;7627975,26;8387772,89;8224447,74;8100528,74;6865419,12;7211338,73;8017321,52;8675401,01;8661510,68;8329508,01;8012423,48;8586547,78;8077209,60;6674229,67;7365549,59;8826288,11;8842202,80;9797109,76;8463853,89;8595108,19;9231563,80;8883337,72;8815823,22;9135159,21;9114354,06;10078532,76;11533102,66;10224513,26;9931642,24;9495214,34;3577775,06;1126784636,39
"16 Amapá";279222,41;333043,05;285649,91;296195,53;224131,08;361856,96;390008,11;396614,37;448877,29;490821,83;375734,08;440399,96;486013,31;495966,94;488465,07;496668,11;488275,92;453867,72;479011,93;480772,17;516516,84;490924,31;531497,86;467971,66;482035,26;450264,26;421958,71;428661,29;463728,10;466412,36;491061,43;456666,96;511191,69;486737,08;573175,31;567077,17;555036,36;479393,97;471649,27;500989,63;524475,56;451021,44;497001,89;461907,93;540467,38;479729,87;487218,39;542973,81;477170,98;472541,50;515794,74;482003,44;511274,20;525990,91;567897,26;513108,41;555981,83;542816,65;575353,34;541841,75;518820,98;486441,08;478835,16;521117,63;576730,25;588176,11;555069,54;562628,06;567243,88;533321,85;566737,60;533302,50;521240,87;524918,74;515418,24;556781,47;618468,78;375168,06;562505,68;569050,93;557181,45;524129,27;515889,08;546181,17;491509,19;411501,56;474750,39;516872,14;519495,28;570578,04;536742,14;524965,91;580300,77;560875,30;538332,01;523174,59;508172,08;446484,36;470479,98;486212,83;527166,80;547098,44;578084,60;522766,51;533933,74;494520,31;509072,02;541828,40;526244,60;504765,79;469223,90;484320,13;534300,76;551126,26;524908,17;539281,29;554502,83;597489,51;550400,33;495894,51;513224,94;534874,20;510246,82;507377,07;451661,70;584034,35;526784,63;664229,45;736613,63;735674,00;604982,70;736113,33;680422,45;634012,56;656288,22;681700,60;661906,79;566300,13;606129,15;721241,45;599479,82;643885,64;650184,46;590991,10;601697,26;580452,21;467083,20;463067,57;538814,77;517189,88;750828,21;718717,59;636783,47;562513,21;615151,59;641124,52;669758,26;731924,49;770335,25;858923,90;949649,78;850780,39;1033609,29;1053140,23;1051055,36;89754810,02
"17 Tocantins";749640,43;1031203,39;1240106,08;1097243,95;1176426,96;1080733,27;1163653,89;1142611,18;1244797,42;1058726,54;1133916,34;1282659,27;1281453,75;1290907,81;1371853,41;1390670,98;1442132,24;1375677,06;1372973,83;1405427,12;1447205,82;1377002,80;1323261,41;1344238,52;1396286,21;1402220,34;1451627,69;1513243,77;1516485,12;1547261,09;1524161,91;1577332,58;1504734,11;1591185,46;1553487,69;1541982,45;1524425,85;1542884,03;1649096,86;1620488,21;1702497,67;1690037,72;1720314,32;1536289,63;1584545,59;1570467,79;1694178,40;1735737,76;1777360,44;1563218,96;1894961,52;1754098,75;1739951,10;1829529,33;1730774,07;1786475,02;1678467,89;1609909,25;1501967,32;1540497,34;1462591,54;1785367,28;1738700,32;1738756,82;1865666,39;1902514,03;1633732,87;1791422,32;1722812,55;1860351,44;1566052,79;1640551,37;1752467,25;1708711,95;1708714,00;1658400,10;1698434,25;1654727,88;1666614,43;1892937,41;1840912,96;1863096,54;1784090,68;1374346,85;1540870,90;1514514,45;1488318,61;1625338,20;1351785,20;1606229,58;1614231,62;1431955,49;1385404,16;1425442,72;1434533,98;1189931,90;1266778,19;1534322,80;1644433,29;1471461,61;1534541,96;1432736,37;1477299,30;1558701,19;1390053,73;1249293,58;1453385,56;1412331,07;1328949,15;1349976,12;1604149,17;1330160,87;1559302,31;1388098,25;1391509,70;1472320,67;1433601,82;1199921,59;1222187,84;1244761,64;1229839,09;1190766,19;1278967,65;1042926,55;1057969,97;1320786,35;1233476,77;1234114,07;1200483,57;1152026,65;1035743,22;1202404,88;1234266,13;1222659,71;1352581,60;1486208,97;1638544,41;1334141,38;1663873,18;1776523,01;1935861,26;1621752,03;1414343,97;1609052,64;1849585,32;1542939,51;1481464,24;1395794,78;1463829,30;1581492,75;1893652,28;1744729,98;1814104,90;1619250,35;1772531,65;1491766,65;1507842,69;1916557,13;2097158,58;1902290,80;1942227,46;2119100,34;2002156,07;1949123,80;128294,36;248478721,51
"21 Maranhão";2430972,60;3118820,64;3187147,21;3355110,71;3341629,07;3463715,06;3676178,49;3614763,86;3516753,38;3845732,46;3271243,21;3750919,77;3381151,23;3715488,42;3691264,21;3939676,04;3871092,27;3941572,24;4070266,34;4407981,92;4446102,45;4465928,96;4120399,08;4322457,38;4297216,88;3915272,24;4348596,32;4225106,22;4436550,47;4483813,07;4479858,34;4521685,73;4347817,48;4570721,99;4705671,05;4284920,77;4396239,52;4360270,41;4461296,45;4625856,49;4410801,68;4467237,89;4534133,46;4659589,65;4714079,82;4836781,28;4593782,14;4652516,27;4462661,18;4685478,41;4811615,97;5102404,19;5171431,57;4914793,74;5279840,56;4911344,68;4994797,53;4830443,98;4771939,01;4414705,05;4683059,31;4573565,46;4810805,17;4949938,39;5343018,74;5317639,29;5497072,27;5518714,18;5650782,54;5540388,43;5486097,98;5346944,15;5361743,08;5139258,12;5158087,72;5194088,11;5311088,71;5621466,71;5597544,77;5829111,84;5930055,27;5658037,36;5662623,94;5296558,49;5040030,67;5266228,61;5556296,71;5428818,63;6003814,45;5828275,45;6024629,54;5863711,00;5882650,53;5853143,82;5633211,12;5549294,35;5619576,23;5203944,40;5516632,22;5597544,86;5792390,34;5766066,31;5770313,56;5794470,96;5746337,50;5505310,21;5505673,59;4609496,15;5367645,80;5354628,68;5778670,35;5677789,02;5958531,61;5893306,40;6361652,80;6343571,17;6211881,56;6237126,37;5949761,31;6423423,03;6173098,13;5580579,76;6450838,88;6635210,80;6366936,08;6323745,95;6483756,57;6714709,62;6500858,98;6521357,56;6219053,37;6370586,01;6585003,49;5935814,25;6467396,66;6464646,68;6700779,89;6467181,56;6557555,57;6736502,94;6747568,48;6769444,03;6621109,85;6252000,23;6348445,53;6237325,34;6015647,55;5252181,86;6319301,29;6769822,81;7039481,10;6693368,38;6427176,11;7087906,16;6800975,69;6503917,86;6650923,23;6649879,20;8813410,64;9562042,87;10131197,28;9606105,67;9518272,56;8063042,86;7288150,03;897445487,19
"22 Piauí";1740479,54;2234453,75;2222489,58;2181918,18;2295126,27;2255561,92;2427385,03;2274438,85;2413562,80;2565650,21;2279598,26;2354002,90;2247293,17;2305633,37;2422761,83;2525761,90;2718359,05;2754039,75;2749615,31;2543285,31;2633439,46;2524025,75;2618686,88;2724816,70;2973082,74;2437172,40;2775925,64;2775040,05;2789912,63;2631438,34;2608812,86;2632286,67;2546514,02;2560192,01;2740990,56;2602221,04;2640322,91;2490522,79;2835704,67;2892730,91;2884839,20;2772097,72;2999254,47;2785975,78;2900051,94;2793282,10;2732279,74;2773448,92;2843020,18;2542935,26;2855294,42;2725637,71;2965187,57;2805106,29;2969671,74;2985938,23;3030524,55;2818151,30;2942281,19;2366876,81;3036461,92;2662032,41;2945898,81;3069725,36;3222947,18;3171655,31;3358134,98;3179337,12;2931248,64;2973747,70;2884783,53;2568376,56;2941486,25;2721854,42;2923743,38;2929324,63;2985579,43;2842228,00;2765138,07;3034340,28;3194413,57;2946105,64;2846596,38;2707733,87;2833194,63;2794839,23;3045221,63;3017817,12;3059879,08;3045940,71;3064299,14;3236171,99;3140153,67;3482846,90;3324538,68;3125358,33;3407731,67;3033287,38;3334276,63;3384175,20;3456159,53;3417623,16;3466265,64;3468955,28;3262388,82;3265589,68;3205268,56;3166917,98;3159024,49;3018685,27;3149203,65;3094896,91;3395763,45;3301712,13;3213293,02;3353864,63;3362138,51;3301787,50;3124365,32;3246692,34;3284663,49;3207599,37;3393456,14;3397863,96;3438349,39;3393689,92;3376719,48;3519890,37;3357891,27;3347851,81;3354993,58;3558734,34;3276791,86;3161842,00;3299243,62;3488710,08;3571161,33;3486453,00;3484770,59;3643364,58;3630624,44;3778698,68;3575125,06;3568471,13;3278408,25;3407936,58;3029504,35;2479249,44;2796708,63;3057997,98;3779643,61;4622853,70;3827918,12;4219378,02;3716507,62;3939549,59;4358115,59;4003921,67;4097537,51;4897491,11;5416351,02;5610917,42;5297328,65;5064549,90;4009864,13;511549024,81
"23 Ceará";3403136,45;5463197,45;5965936,95;6430860,70;6441606,97;6633883,26;6448614,54;6054958,25;6487710,72;6037549,73;5060566,78;6973949,43;6043686,84;6484887,91;8128007,55;7288269,58;7493038,32;7258548,51;7075892,34;7294559,83;7263515,00;7256387,74;7234288,23;6888195,73;6850382,23;7095155,28;7669039,53;7619892,73;7732079,41;7655548,85;7489585,01;7986405,58;7591235,31;7090546,43;7671961,82;7285038,69;7458383,07;7510794,80;7625842,86;7819249,33;7024227,91;7604318,00;8015685,67;7773008,82;8083442,92;8375752,69;8225767,89;8341127,10;7754544,04;7812551,59;8094034,53;8333444,98;8304766,85;8349512,53;8123059,85;8078273,21;8272505,83;7903524,91;7751090,85;7522576,24;7564310,75;7854577,79;8526761,52;9160917,12;9318260,78;8474071,61;9394250,90;8936663,86;10098922,96;9874571,65;9389433,12;8886784,55;9640427,54;8972948,33;9101204,25;9231081,15;10039843,40;9086602,70;10203793,69;9619178,59;9923410,35;9253122,44;9384635,25;9338118,48;9106799,70;8613727,36;9732910,48;9714372,00;9753432,98;9774570,14;9983402,79;10111208,57;10013870,59;9809587,70;10513402,91;9219499,43;9200579,87;9199496,92;9174995,19;9988453,42;10112343,29;10401145,08;10049902,06;10699619,93;10665233,77;10191861,79;9901507,84;9948585,56;9084249,47;9064213,51;9932550,56;9077952,11;10314126,11;10190421,35;10310411,94;10372729,15;10513060,60;10615802,85;10425070,22;9763787,33;10439455,87;9786429,52;10307122,45;10278269,43;10701107,68;10260359,01;10689727,48;10958859,83;10133873,97;10388841,25;10156526,67;9817991,60;10500986,51;9924244,74;10104876,96;10558579,79;11128805,03;10831069,55;11224488,27;10875103,48;10798061,71;10943235,17;10730511,52;10647661,02;10582874,63;10273539,11;9776409,97;9519735,40;9478360,67;10919444,66;11176769,99;11938741,57;11262161,90;11764587,99;11370546,62;10482989,96;10645219,88;11453408,11;13249677,63;14722360,18;15793788,18;19887197,77;16207846,26;13724380,26;13507049,32;1523747662,07
