 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor serviços hospitalares por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Ago/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"Total"
"11 Rondônia";1091658,61;2303736,65;1195519,71;1197369,03;1301994,82;1093625,60;2384672,54;2505424,23;2414923,14;2381659,25;2174495,85;2247187,27;2271745,12;2166432,15;2906573,86;2815182,57;2943942,74;2895007,55;2920056,04;2746786,47;2810324,80;3051415,61;3072717,33;3070055,09;2912967,70;2863721,03;3079141,30;3335389,90;3615074,03;3548669,80;3885186,80;3574769,69;4090659,58;3584636,31;3486185,95;3253971,84;3517204,10;3064563,47;3416308,58;4050286,92;3826629,46;3640934,92;3559175,35;4160023,23;4430464,99;3239571,40;3495121,84;2791188,13;3131388,74;3532676,42;3861502,51;3595643,46;3662840,46;4173019,22;3761311,51;3232097,78;3182379,93;3042524,48;2792110,20;2537361,72;3220911,70;3559726,01;4123909,02;4481077,73;4513468,64;4030929,13;4369157,18;4605073,48;4746926,32;4769569,33;5145335,73;4877036,62;4629871,61;4982225,86;5188630,18;5298618,55;5682135,69;5820050,53;5429288,09;5789621,66;5408465,64;4735027,25;4916413,53;5466255,57;5835145,62;5342803,78;5726191,72;5604337,53;6331420,65;6062994,07;6960121,88;5347993,15;5972204,23;5604662,83;5006472,18;5235423,50;6248316,83;6392938,12;5756107,11;6384905,32;6084376,71;6347124,89;6528446,87;6533251,63;6466485,92;5839074,52;5640656,58;5545103,19;6268695,61;5416628,34;6325939,11;6871680,20;6095650,49;6380135,28;6733221,30;6096877,26;6447939,47;6884119,46;6552837,93;5931386,18;6377076,74;7151582,11;7116826,21;7110636,40;6815434,95;6596464,91;6842770,02;7374083,64;5862998,36;6987056,03;6687975,13;6675324,02;7496783,15;6570214,42;7159192,25;7726796,63;7621242,47;6226428,80;7971791,05;7377559,57;7105379,49;8142568,71;7839505,22;6506638,67;7365020,53;5977303,88;6556338,20;5845429,33;6195788,83;7606513,03;9818521,33;9758590,92;8336247,21;6537740,50;7689837,68;7354675,89;7950040,63;7907131,48;12055161,66;12611103,33;13397437,39;12522989,49;10383272,89;9126101,17;859818177,61
"12 Acre";665896,23;1140167,20;1360651,40;1321014,98;1408221,35;1371821,83;1898011,28;1590230,34;1769955,25;1451282,78;1306103,57;1657824,63;1889470,92;1671711,96;1599039,88;2161498,71;2059382,56;1845749,48;2009486,07;1730509,15;-;2170825,40;1659123,57;1941934,17;1888761,49;1470384,85;1789990,98;2005546,67;2157045,37;1761251,39;1584658,75;1849108,52;1783111,97;1647535,87;1853423,73;1925892,24;2328062,28;2021139,18;1851005,34;2043617,89;2067039,70;2018463,01;2410733,09;2151825,71;2204593,90;2005223,55;2256277,11;2155121,50;1872115,83;1499846,29;2163204,72;2242420,10;2182703,69;2246104,94;2007807,63;2330671,40;1712137,98;2306483,27;2359564,19;2008697,52;1982172,67;2310502,50;2229920,23;2324707,85;2024150,61;1845534,74;2070429,85;2138530,43;2070832,39;2088155,30;2147038,83;2115483,03;2525872,82;2035163,52;2174132,66;2268673,49;2271874,50;2084468,03;2391799,78;2288721,48;2275183,20;2407555,82;2425434,48;1921944,27;2574838,11;2315046,92;2345391,87;2340637,67;2321835,79;2400641,96;2137120,60;2457409,57;2485352,30;2252431,28;2289746,31;2255485,32;2339924,24;2497190,15;2386465,65;2582665,06;2395963,39;2976904,37;2927189,67;2779023,57;2733557,07;2411108,28;2320198,54;2508103,45;2170345,93;2545954,10;2351278,39;2075825,97;2484228,26;1783409,48;1754492,14;2362528,14;2089063,78;3457088,10;3126741,30;1966308,65;2735576,57;1855518,51;1982799,22;2304187,62;1708290,67;2492639,77;2399764,51;2285946,25;2011795,97;2319693,23;2616741,01;1622439,14;2052806,78;1444112,92;2392474,53;1854865,99;2186783,37;2487881,33;2408322,75;2411688,31;2310090,44;2343218,66;2308747,38;2172405,46;2548143,86;2669445,01;2370392,15;1746037,35;2206344,02;2315608,33;3036247,45;2756056,36;2570457,40;3093136,50;2457033,00;2846041,04;2848665,48;2746179,11;3177802,54;5056707,11;5088120,55;2670931,96;3884752,29;3211586,60;361469740,72
"13 Amazonas";3593778,70;5460498,83;6285004,41;6338044,15;6061799,79;6550361,70;7200676,60;7212757,12;7212754,10;6558224,21;4920890,11;5934975,92;5674993,04;5105052,56;7571459,24;6838211,93;7037084,12;6761827,78;7234299,60;7393895,75;7517630,60;7009085,48;6300326,57;6978951,49;7242506,42;6668608,58;6988021,99;7577541,85;7437492,83;8490502,69;8179766,48;6818698,01;6400941,54;7305027,12;7566038,21;7127414,92;7439298,81;6654626,39;7150180,06;7897490,35;8587266,12;7920743,24;9241891,94;7270262,34;7611956,53;7598186,56;7046859,34;8611486,77;7905430,07;8399607,27;7921323,88;7687869,42;8426918,62;8191296,48;8692057,18;7772523,09;8168295,78;8013762,03;7654111,12;6779393,27;8210316,75;7426776,68;7774834,47;8701680,15;8092463,80;8581092,30;8145420,49;9185306,05;8373148,31;8586468,14;7903721,24;7653454,69;8293154,92;6380784,39;7260608,26;6761021,66;8931731,87;7759048,30;7524807,47;7488745,46;8407137,01;8276799,65;8031342,63;7617403,61;8784489,90;9288030,70;8901736,23;9725578,26;9860364,37;10320494,29;10931706,41;9480074,81;9935773,33;9974241,10;9890520,24;8606525,24;8205865,86;9033283,45;9964311,53;9325814,78;10334700,10;10027622,34;9726240,50;10469637,98;10530835,25;8521241,03;8366309,30;8471271,91;9826497,00;8371634,08;10826934,03;9512572,26;11246432,22;9714110,20;11145556,86;10886051,59;10437773,44;11144711,86;10078075,38;10020114,86;10398784,99;9993470,88;11116559,94;11259660,49;11325104,60;11212919,75;11480781,27;11098432,45;12236764,50;12643485,17;11897288,72;10869415,57;12979175,31;11153227,38;12760608,49;12138972,94;12896233,76;11986039,48;12403785,76;12235562,96;12786985,85;12208920,98;12217335,16;11090630,66;12473049,91;11597826,77;11665510,18;10494015,99;15634854,55;16764468,51;15672621,73;14278279,72;13961800,57;12770300,03;15685977,97;14110238,19;17393573,44;20962702,17;18718009,22;18338054,70;20997437,80;21345248,78;19720814,02;17413494,69;1576840808,09
"14 Roraima";465523,12;541585,42;535969,72;612246,59;612242,60;611681,67;721872,17;661914,66;674583,82;894451,09;779103,84;908720,65;853352,04;719396,65;1032942,98;921624,36;1151784,92;1062765,16;1174618,85;1359733,76;1247707,58;875201,57;1041443,39;1216361,66;1066243,53;1012193,05;1409993,90;1475226,45;1369129,19;1379723,10;1419260,32;1235228,51;1398646,98;1354037,87;1252288,02;963014,81;957245,77;916274,18;1051143,89;1000337,05;809372,73;985477,40;1026312,53;1157163,97;1277219,07;1065392,65;1213792,42;1445640,60;1071132,48;1391248,91;1513640,92;1508416,74;1595948,18;1423198,57;1266836,93;1417073,44;1250894,23;1085743,38;1170653,77;1128991,25;1161399,48;1152810,74;1370785,22;1359110,58;1379226,92;1477108,93;1628582,79;1431510,10;1244916,80;1307559,61;1231005,98;1066673,99;1354685,18;1193398,80;1208504,85;1136523,10;1287488,70;1131423,96;1328769,98;1414752,79;1235481,00;1240891,87;1312401,54;873700,75;1314755,89;1684209,61;1371823,63;1685332,67;1406554,91;1161492,34;1474947,04;1979579,79;1706230,16;1611386,10;1514701,75;1452197,01;1291625,68;1321184,61;1457975,34;2015716,72;1816541,65;1858391,15;2428670,13;2089991,70;2020992,47;2106183,05;1859254,41;1801493,70;1796883,80;1796213,20;1915674,02;1984125,36;1879828,56;2065416,06;2194119,27;2210992,67;2110347,14;1877909,78;1850030,15;1986327,47;2192586,00;2159708,54;2035315,64;1993425,02;1945396,24;2229493,26;2125258,18;2005694,89;1975724,29;2232816,81;2061386,58;2138798,58;1872302,99;1939460,50;1435536,27;1868708,13;1890438,42;2127496,86;2356231,68;2768506,71;2335552,88;2323133,80;2365867,15;2388641,19;2299370,97;2186991,31;2254952,52;2092886,38;2069907,53;2653261,61;2345263,82;2141637,15;2266323,72;2358166,21;2822164,04;2664041,80;2540729,99;2777532,15;3513778,72;4148394,60;3396578,36;2396723,84;2926502,35;2952392,49;262943857,88
"15 Pará";14400485,38;14971834,11;16874776,47;16007507,56;17907747,73;17953657,09;18482514,03;17906869,74;19488256,02;18520060,67;16405426,12;18383085,95;19040344,18;18625382,73;20735340,99;20706204,65;20532668,57;19814792,44;21972437,26;21530849,81;21899928,04;22251260,54;19742193,81;20545935,28;20058398,86;20696597,93;21493928,94;20113317,19;21538428,19;21088352,74;20787845,70;20834966,11;21231602,87;21217159,42;20847652,57;20236439,83;21644878,19;20847088,76;21017080,12;21704216,43;19679333,95;22071213,79;18946556,24;19657601,50;21772166,97;21006721,53;19944246,20;20063163,19;20985286,95;20335448,48;21143847,92;20943950,67;21031673,62;20475057,62;20411741,31;15664579,24;20622433,51;20750668,74;20228376,25;21022342,26;19736561,30;21011383,91;21555647,93;21640656,64;21954188,30;22698988,74;21851604,47;20738190,95;21175790,61;21352591,40;21402585,76;22164064,43;20408830,15;20355311,19;22004822,33;21576070,03;22177128,35;23576111,40;21733479,46;21489537,23;22240097,16;23048003,14;21813508,64;21394813,94;21640369,19;21764124,71;22278708,30;23013548,58;23161860,42;22516691,60;23401823,84;24277984,05;22907449,51;22122520,98;22146678,27;20974941,77;21106427,82;22866365,47;22191239,75;23269786,35;22741547,13;23759865,99;23020506,86;23046927,42;23588601,25;24461277,03;22271079,57;22314757,99;23591155,43;23313742,61;24078021,15;24575958,30;23446063,63;24718245,11;25105035,45;24491769,56;26515980,73;25793174,69;25185668,46;25709880,70;24045989,87;23964253,17;25233951,28;26641870,71;26116122,59;27201517,16;25579931,79;26964464,57;26038976,44;26779838,61;25657496,89;25714257,07;26097115,65;25160965,89;25387672,65;27535433,21;27438928,74;26724471,57;22239184,93;23666171,68;26064722,35;26945811,17;27963027,88;27265385,60;26312369,57;28681769,14;27222201,61;21430150,81;25492304,77;33256778,54;31957171,74;34595721,68;28191659,99;28262668,89;29511923,76;29027013,98;29939870,04;30116410,05;31441427,05;36354699,40;43468318,31;37229223,74;34654554,91;31918002,33;3798775471,87
"16 Amapá";841750,93;935697,28;689001,33;844941,79;642215,10;1079121,99;1036651,37;1078937,01;1202464,14;1375926,75;1050404,10;1256214,57;1179882,23;1223973,06;1261856,70;1556037,08;1427527,63;1333719,82;1284653,10;1265766,82;1517812,94;1348798,95;1350723,43;1244977,05;1367121,91;1154981,78;1103793,66;1144148,07;1189576,76;1218891,42;1282542,72;1205855,68;1300154,96;1167557,48;1385380,23;1417502,39;1373680,31;1246064,53;1231391,47;1348264,52;1353289,14;1373392,33;1461746,44;1186912,27;1468139,77;1255641,66;1278013,94;1441648,44;1254763,35;1264060,77;1361632,66;1328212,39;1423615,29;1414136,15;1497328,63;1484604,59;1473091,70;1460675,44;1511170,91;1442859,30;1354503,54;1212590,86;1293263,03;1531142,92;1529224,05;1724619,18;1612373,17;1524548,29;1450068,11;1433154,68;1500390,34;1447135,05;1409750,06;1348550,32;1290534,07;1435349,16;1655743,77;1259866,50;1677870,58;1559218,42;1374142,66;1439798,11;1275855,64;1240649,72;1118258,23;1029542,07;1227743,00;1320598,68;1382455,88;1477986,78;1368899,67;1308964,78;1524573,37;1422167,55;1332751,37;1290106,97;1206623,47;1123059,38;1198075,80;1267626,64;1370270,74;1456847,09;1516053,86;1426493,44;1346607,39;1257114,60;1270218,64;1312160,94;1349334,46;1294604,31;1196132,58;1218273,57;1363486,38;1499698,03;1356498,38;1400893,44;1368647,20;1439298,40;1326331,09;1220961,05;1322924,69;1419949,12;1372306,50;1273657,42;1369905,72;1536378,37;1384183,46;1789325,95;1915669,66;1901487,32;1534159,23;1918191,21;1869383,15;1660113,63;1854753,10;2065116,61;1986997,96;1550797,94;1782575,34;2183948,82;1546078,01;1812061,81;1660329,92;1705708,32;1732125,39;1729743,44;1375389,34;1242806,07;1526240,58;1492722,69;2502571,24;2227680,85;1779235,76;1641218,83;1603380,67;1925795,08;2138049,59;2090634,68;2417875,73;2757898,50;3429946,36;2957304,64;4178106,27;-;239235328,66
"17 Tocantins";2691952,26;3954485,46;4965506,52;3887238,14;4334575,50;3847200,95;4281948,39;4271099,20;4351872,08;3599687,47;4118535,46;4240784,43;4510202,88;4523481,08;4902141,18;5372135,95;5133586,33;5047716,34;4976258,02;5085092,38;5095712,32;5043055,83;4826230,39;4730939,67;5015026,63;5001042,17;5247212,86;5392110,64;5348091,35;5329550,85;5208062,43;5533590,42;5139411,51;5270735,10;4999525,92;4908665,37;5170623,32;5193066,04;5636019,60;5457112,06;5574020,18;5514478,10;5390754,25;4862557,06;5087339,62;5098207,20;5123829,16;5591028,43;5572620,94;5343447,54;6400298,59;5650434,82;5654997,54;6050387,49;5539552,52;5781736,82;5333020,94;5191809,66;4714515,66;4894558,03;4975373,42;6132983,92;6007229,56;5864868,08;6119589,92;6407185,70;5341692,09;5659318,52;5356378,48;6093729,69;5238411,37;5220334,40;5698051,24;5835127,56;5677463,85;5448140,34;5528353,84;5354208,88;5456831,10;6117604,72;6106304,25;6195237,01;5714533,13;4700962,75;5476833,21;5092835,51;5110319,38;5571974,43;4811955,63;5669140,46;5373690,14;4811365,47;4445690,03;4846227,60;5029739,89;4379183,14;4185868,80;5467776,44;5882348,61;5243425,98;5240849,74;4804321,32;5279844,24;5207799,90;4953793,68;4315084,31;5194265,48;4833404,65;4712224,02;4835403,79;5462307,27;4392130,58;5457733,27;5004610,13;4445562,84;5135980,93;4679337,24;3839326,07;4163298,68;3895438,71;4089220,11;4129319,75;4565221,25;3514293,39;3537621,96;4269675,27;4029076,28;4215629,35;3900986,12;4037857,94;3746645,75;4037895,39;4531537,68;4626479,43;5210412,04;5144525,65;5431803,02;4741329,14;5402400,55;5771042,72;6484681,00;5468551,98;4937424,20;5441065,05;6143238,80;5406140,11;5703444,12;4979822,80;5237542,86;5856977,31;7267364,85;6648733,00;6922717,67;6152217,73;7106035,50;5580920,11;5789830,42;7958755,00;8553247,81;7449763,79;7549840,88;8498714,38;7762399,33;7785798,87;859130084,80
"21 Maranhão";8292533,79;10440858,77;10797995,15;11454305,75;11164098,31;11444376,26;12108720,91;11580549,03;11434524,37;12226486,82;10745301,83;12041384,16;11401277,91;13126928,11;12990362,20;13795379,51;13595253,04;13517657,30;13951382,00;14924967,76;15276793,06;14811923,61;14513679,19;14795457,04;14608935,30;13625566,21;15393336,97;15220102,33;15737528,92;15884633,28;15881778,61;16045024,67;14714084,07;16120076,09;16323244,75;15132969,18;15682535,46;16088682,48;16218217,81;16585099,94;16300560,95;15666347,83;15559627,41;15901764,35;16109702,75;16606411,57;16030801,24;16366478,79;15448051,27;16217569,41;16658760,36;18103993,38;18313930,57;17535956,13;18155782,23;16894090,14;16803512,54;16310938,27;16251283,78;15123086,93;16767659,89;16790567,66;17651096,28;18278811,35;19897505,33;18956075,67;19335829,43;19236702,61;19287649,67;19508025,28;19154119,83;19259149,77;19501033,45;18214584,39;18958184,01;19125290,35;18958629,44;20503931,76;19562179,85;20213360,19;20624515,51;19522361,05;19811241,04;18861426,94;17949495,53;19295902,98;20388092,40;20078980,52;21353721,25;20915183,29;21140040,68;20837817,63;20979827,79;20380391,18;19782400,75;19764036,81;20567549,57;19491491,40;20140629,64;20618196,02;20819312,52;21073299,30;21432067,35;20493289,11;20224176,94;19916702,82;19809440,74;15934295,62;20786179,39;20550201,48;22086878,08;21114781,21;22087157,09;21789773,89;22930410,90;22378743,76;21796611,05;21938239,38;20752261,87;22750968,14;22189884,67;20599036,21;23287954,82;24237172,32;22957704,10;22869048,32;22943966,90;23538133,34;23123263,45;22755634,35;22195782,72;23169332,75;24056768,69;21433236,94;23909783,14;23891399,41;24696395,50;23627050,78;24090997,11;24955066,91;24175619,92;25213741,19;24372635,05;23407493,19;23976422,97;23780862,72;23294244,54;20004407,34;25063262,61;28152015,82;28458484,96;25553841,53;23718827,44;26289235,18;25302270,50;24585179,33;25095196,77;25961566,71;35687762,91;40404034,08;42573029,44;39847737,74;40108537,52;32404838,31;3224340000,88
"22 Piauí";6244662,89;7845474,50;8075882,87;8594058,15;8103234,61;8272691,96;8612722,89;8274737,55;8485636,17;9150293,17;8090315,29;8330584,22;8200993,18;8312036,98;8978537,89;9902827,49;10378202,61;10618620,65;10560837,18;9625618,72;9613587,83;9220920,27;9577363,17;10734706,36;10404463,14;9588915,41;10335003,23;10252787,87;10419979,94;9831909,44;9610111,61;9472294,86;9247790,47;9180377,51;9631479,13;8819545,73;9314427,94;8729061,93;10235062,52;10250754,24;10004521,22;9261411,21;9728547,57;9346477,41;9437771,63;9328079,86;9407450,01;9704466,29;9776515,23;8852225,60;9882027,33;9416612,57;10164710,30;9789392,29;10159081,16;10227471,64;10105821,87;9795596,80;9974051,57;7992437,03;10856430,87;9598374,89;10562536,24;11088720,40;11576472,22;11192652,77;12085370,29;11350211,67;10347072,85;10701822,73;10564835,49;9620918,74;10966844,85;10236046,47;10810449,68;10971709,63;11206707,07;10718380,98;10264328,36;11533691,49;11565539,82;10993669,69;10594889,81;9892276,23;10525544,28;10990793,71;11539501,01;11305125,07;11953321,71;11408891,88;11284854,22;11857602,14;11070565,46;12167401,71;11683878,19;11506951,75;12163833,44;11330217,34;12546714,81;12508570,54;12487698,52;12841083,46;12999703,56;12759652,15;12287457,37;12470784,00;12186265,75;12226871,14;11948843,90;11771561,59;12192016,67;12174645,05;12703800,70;12728774,95;12176078,71;12654620,85;12596807,68;12248846,55;11557068,24;12460695,38;12403951,81;12317460,86;12885185,53;12943463,20;13067874,46;12812795,50;12827800,28;13419961,73;12669431,47;12890661,61;12401869,19;13259790,54;12538232,72;12204856,48;12792474,77;13485844,90;14111724,80;13693333,70;13849869,81;14245797,10;13933340,01;14345774,49;13677362,33;13613109,11;12951065,13;13443397,53;11538749,88;9745144,53;10385502,37;12224067,72;16128929,66;21040683,79;16402864,60;18099077,13;15092975,50;16843073,56;18314686,27;16977942,76;17511728,44;22508299,88;24694410,67;25450038,92;23076986,99;20867038,89;1913788807,50
"23 Ceará";12136685,45;20271904,10;22758688,80;24245596,36;24162846,50;24638511,92;24476776,82;21796480,47;23875009,18;21620349,01;18511635,84;26277366,46;22765400,83;25146791,03;28811113,36;26891642,50;28779162,27;27255881,77;26909852,75;27388265,04;27208064,06;26801742,94;26627131,72;25263373,72;25099033,97;26155271,11;27984228,24;27660384,94;28027992,40;27568692,87;26187958,23;28379458,70;27310465,81;25177210,46;26743059,00;25964088,09;26625385,06;27146329,83;27295478,53;27469807,72;24288423,52;27353848,98;27584967,90;27150494,20;26834499,83;28691831,03;27950824,35;27822097,39;26150361,27;26616975,41;27966477,19;28054458,47;28424000,61;28843837,82;27779861,80;28726210,94;28019468,29;27016201,73;26385439,60;25912743,87;26795208,41;27278673,99;29019471,83;32134785,15;31606150,72;29349291,51;32818987,86;31610134,28;33713959,79;33199694,57;31757967,51;30899157,92;34330159,94;31211269,74;31241057,72;31327183,97;34669280,57;32109766,11;36015493,74;33454434,19;34912443,79;32067078,08;31940688,37;33002207,86;32221758,35;30574941,68;33573434,60;33947663,91;34374274,21;35347845,28;35779860,74;35717585,68;35514121,96;34255692,99;36445692,49;32819030,56;32933671,27;33412775,97;32530290,93;34761549,86;35513231,51;36853715,51;35633391,26;37800330,92;36705780,18;35895307,81;34515189,19;34010826,09;32598546,92;33832566,08;36549974,38;34087898,51;36669896,22;36222415,67;36042909,67;37386342,68;36829449,76;38348567,99;37331519,95;35745652,63;37572978,65;35714030,96;37812506,10;37777156,27;38253754,42;37143768,97;38560662,43;39569973,44;36377007,49;38030116,94;37622873,96;35377858,08;38824233,94;37614674,69;38092179,14;39048578,00;41486409,50;40044318,06;41714018,01;41553639,52;40231214,98;40535289,71;39742770,32;40042616,12;40031509,07;40431966,64;37218215,67;35527930,49;36963741,22;44079993,63;44847515,24;49783072,75;45402760,18;47383298,95;45547445,62;40425061,90;41617123,04;44767730,29;55043423,82;63715779,90;70999613,85;89923737,98;73963773,31;41926574,10;5510579290,44
